,Rank_avg,Review,Year,Genre,Publisher,Game Title,NA_avg,EU_avg,JP_avg,Other_avg,Global_avg
0,1,76.28,2006,Sports,Nintendo,Wii Sports,40.96,28.705,3.77,8.5,81.93
1,2,91.0,1985,Platform,Nintendo,Super Mario Bros.,29.08,3.58,6.81,0.77,40.24
2,3,82.07,2008,Racing,Nintendo,Mario Kart Wii,15.175,12.55,3.71,3.26,34.685
3,4,82.65,2009,Sports,Nintendo,Wii Sports Resort,15.285,10.76,3.23,2.985,32.26
4,5,88.0,1989,Puzzle,Nintendo,Tetris,23.2,2.26,4.22,0.5799999999999998,30.26
5,6,90.0,2006,Platform,Nintendo,New Super Mario Bros.,11.115,9.05,6.49,2.8899999999999997,29.545
6,7,61.64,2006,Misc,Nintendo,Wii Play,13.93,9.155,2.93,2.8449999999999998,28.865000000000002
7,8,88.18,2009,Platform,Nintendo,New Super Mario Bros. Wii,13.969999999999999,6.77,4.68,2.255,27.685000000000002
8,9,84.0,1984,Shooter,Nintendo,Duck Hunt,26.93,0.63,0.28,0.47,28.31
9,10,85.0,2005,Simulation,Nintendo,Nintendogs,9.045,10.905000000000001,1.93,2.74,24.630000000000003
10,11,91.34,2005,Racing,Nintendo,Mario Kart DS,9.575,7.345000000000001,4.12,1.91,22.945
11,12,81.2,2007,Sports,Nintendo,Wii Fit,8.925,8.09,3.6,2.115,22.729999999999997
12,13,80.83,2009,Sports,Nintendo,Wii Fit Plus,8.955,8.265,2.53,1.8250000000000002,21.575
13,14,65.39,2010,Misc,Microsoft Game Studios,Kinect Adventures!,14.235,4.640000000000001,0.24,1.745,20.86
14,15,95.08,2004,Action,Take-Two Interactive,Grand Theft Auto: San Andreas,9.43,4.44,0.41,6.53,20.81
15,16,94.0,1990,Platform,Nintendo,Super Mario World,12.78,3.75,3.54,0.55,20.61
16,17,78.05,2005,Misc,Nintendo,Brain Age: Train Your Brain in Minutes a Day,4.734999999999999,9.18,4.16,2.045,20.119999999999997
17,18,82.0,1989,Platform,Nintendo,Super Mario Land,10.83,2.71,4.18,0.42,18.14
18,19,93.0,1988,Platform,Nintendo,Super Mario Bros. 3,9.54,3.44,3.84,0.46,17.28
19,20,94.43,2002,Action,Take-Two Interactive,Grand Theft Auto: Vice City,8.41,5.49,0.47,1.78,16.15
20,21,79.61,2005,Puzzle,Nintendo,Brain Age 2: More Training in Minutes a Day,3.425,5.34,5.32,1.18,15.27
21,22,94.47,2001,Racing,Sony Computer Entertainment,Gran Turismo 3: A-Spec,6.85,5.04,1.87,1.16,14.93
22,23,88.49,2011,Shooter,Activision,Call of Duty: Modern Warfare 3,9.129999999999999,4.1850000000000005,0.125,1.375,14.815
23,24,88.0,1998,Role-Playing,Nintendo,Pokémon Yellow: Special Pikachu Edition,5.89,5.04,3.12,0.59,14.64
24,25,87.56,2010,Shooter,Activision,Call of Duty: Black Ops,9.375,3.575,0.10500000000000001,1.2149999999999999,14.27
25,26,82.57,2012,Shooter,Activision,Call of Duty: Black Ops II,4.59,4.775,0.545,2.04,11.945
26,27,87.56,2012,Shooter,Activision,Call of Duty: Black Ops II,7.75,3.86,0.05500000000000001,1.13,12.79
